"","sub","game","Screen","rt","trial","Object.Name","sp","left.column","right.column","rt.out","left.response","right.response","answer","response","switch","payoff"
"1",8624056,"coordination","trial",2987,1,"right",8,"8.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,10.0523560209424
"2",8624056,"coordination","trial",1418,2,"left",3,"15soloseinsieme.png","3.png",0,"UP","SP","UP",1,0,13.979057591623
"3",8624056,"coordination","trial",3005,3,"left",15,"15.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,15
"4",8624056,"coordination","trial",1036,4,"right",2,"2.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,13.979057591623
"5",8624056,"coordination","trial",3155,5,"left",11,"11.png","15soloseinsieme.png",0,"SP","UP","SP",0,1,11
"6",8624056,"coordination","trial",1203,6,"left",10,"15soloseinsieme.png","10.png",0,"UP","SP","UP",1,0,6.91099476439791
"7",8624056,"coordination","trial",869,7,"left",7,"15soloseinsieme.png","7.png",0,"UP","SP","UP",1,0,10.8376963350785
"8",8624056,"coordination","trial",1286,8,"left",13,"13.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,13
"9",8624056,"coordination","trial",1019,9,"right",6,"6.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,12.2513089005236
"10",8624056,"coordination","trial",969,10,"right",9,"9.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,8.87434554973822
"11",8624056,"coordination","trial",1501,11,"left",1,"15soloseinsieme.png","1.png",0,"UP","SP","UP",1,NA,14.1361256544503
"12",8624056,"coordination","trial",953,12,"right",5,"5.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,13.1937172774869
"13",8624056,"coordination","trial",1136,13,"left",12,"12.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,12
"14",8624056,"coordination","trial",887,14,"left",4,"15soloseinsieme.png","4.png",0,"UP","SP","UP",1,0,13.979057591623
"15",8624056,"coordination","trial",1153,15,"left",14,"14.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,14
"16",8624056,"competition","trial",15705,1,"left",3,"15solosesoli.png","3.png",1,"UP","SP","UP",1,0,6.20418848167539
"17",8624056,"competition","trial",870,2,"left",9,"9.png","15solosesoli.png",0,"SP","UP","SP",0,0,9
"18",8624056,"competition","trial",1152,3,"right",8,"15solosesoli.png","8.png",0,"UP","SP","SP",0,1,8
"19",8624056,"competition","trial",1519,4,"right",6,"15solosesoli.png","6.png",0,"UP","SP","SP",0,0,6
"20",8624056,"competition","trial",787,5,"right",2,"2.png","15solosesoli.png",0,"SP","UP","UP",1,0,5.96858638743455
"21",8624056,"competition","trial",1337,6,"right",4,"4.png","15solosesoli.png",0,"SP","UP","UP",1,0,7.46073298429319
"22",8624056,"competition","trial",1236,7,"left",15,"15.png","15solosesoli.png",0,"SP","UP","SP",0,0,15
"23",8624056,"competition","trial",1235,8,"right",11,"15solosesoli.png","11.png",0,"UP","SP","SP",0,0,11
"24",8624056,"competition","trial",702,9,"left",14,"14.png","15solosesoli.png",0,"SP","UP","SP",0,0,14
"25",8624056,"competition","trial",986,10,"left",1,"15solosesoli.png","1.png",0,"UP","SP","UP",1,NA,5.96858638743455
"26",8624056,"competition","trial",1003,11,"left",12,"12.png","15solosesoli.png",0,"SP","UP","SP",0,0,12
"27",8624056,"competition","trial",6188,12,"right",5,"15solosesoli.png","5.png",0,"UP","SP","SP",0,1,5
"28",8624056,"competition","trial",802.000000000015,13,"left",13,"13.png","15solosesoli.png",0,"SP","UP","SP",0,0,13
"29",8624056,"competition","trial",2104,14,"left",7,"15solosesoli.png","7.png",0,"UP","SP","UP",1,1,9.26701570680628
"30",8624056,"competition","trial",853,15,"left",10,"10.png","15solosesoli.png",0,"SP","UP","SP",0,0,10
"31",8624056,"lottery","trial",3453.00000000001,1,"left",11,"11.png","15soloseacaso.png",0,"SP","UP","SP",0,0,11
"32",8624056,"lottery","trial",685,2,"left",2,"15soloseacaso.png","2.png",0,"UP","SP","UP",1,0,7.5
"33",8624056,"lottery","trial",5410,3,"right",9,"9.png","15soloseacaso.png",0,"SP","UP","UP",1,1,7.5
"34",8624056,"lottery","trial",819,4,"right",15,"15soloseacaso.png","15.png",0,"UP","SP","SP",0,0,15
"35",8624056,"lottery","trial",4037,5,"right",8,"15soloseacaso.png","8.png",0,"UP","SP","SP",0,1,8
"36",8624056,"lottery","trial",703.000000000015,6,"right",5,"5.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"37",8624056,"lottery","trial",1452,7,"right",3,"3.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"38",8624056,"lottery","trial",920,8,"right",12,"15soloseacaso.png","12.png",0,"UP","SP","SP",0,0,12
"39",8624056,"lottery","trial",1789,9,"left",7,"15soloseacaso.png","7.png",0,"UP","SP","UP",1,0,7.5
"40",8624056,"lottery","trial",1086,10,"left",4,"15soloseacaso.png","4.png",0,"UP","SP","UP",1,0,7.5
"41",8624056,"lottery","trial",853,11,"right",1,"1.png","15soloseacaso.png",0,"SP","UP","UP",1,NA,7.5
"42",8624056,"lottery","trial",852,12,"right",10,"15soloseacaso.png","10.png",0,"UP","SP","SP",0,1,10
