"","sub","age.cat","version","name","value","flag.lottery","risk.lott","Gender","Age","mean_mars","pre_err","post_delta_ref","mars_age.cat","mars.mc","risk.lott.mc","pre_err.mc","post_delta_ref.mc","mars.gmc"
"1","7312338","Adolescents","ver1","Risk",-0.466666666666667,"1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"2","7312338","Adolescents","ver1","RT",283.866666666665,"1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"3","7312338","Adolescents","ver1","RT2",351,"1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"4","7312338","Adolescents","ver1","Switch",0.428571428571429,"1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"5","7312338","Adolescents","ver1","Payoff",1.17446808510638,"1",13,"M",13,0.1875,-22,-3,"Adolescents",-0.454436136489209,6.41778523489933,-16.8987993138937,-0.743676222596965,-0.350905261405261
"6","7312339","Adolescents","ver1","Risk",-0.266666666666667,"0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"7","7312339","Adolescents","ver1","RT",316.2,"0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"8","7312339","Adolescents","ver1","RT2",-16,"0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"9","7312339","Adolescents","ver1","Switch",0.142857142857143,"0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"10","7312339","Adolescents","ver1","Payoff",-0.799290780141844,"0",7,"M",12,0.733333333333333,-2,10,"Adolescents",0.0913971968441238,0.417785234899329,3.10120068610635,12.256323777403,0.194928071928071
"11","7312340","Adolescents","ver1","Risk",-0.466666666666667,"0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"12","7312340","Adolescents","ver1","RT",-1722.6,"0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"13","7312340","Adolescents","ver1","RT2",-1383,"0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"14","7312340","Adolescents","ver1","Switch",-0.214285714285714,"0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"15","7312340","Adolescents","ver1","Payoff",-1.36666666666667,"0",7,"F",12,0.533333333333333,-8,1,"Adolescents",-0.108602803155876,0.417785234899329,-2.89879931389365,3.25632377740304,-0.00507192807192847
"16","7312341","Adolescents","ver1","Risk",0,"0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"17","7312341","Adolescents","ver1","RT",-614.415200025431,"0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"18","7312341","Adolescents","ver1","RT2",-376.969000190737,"0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"19","7312341","Adolescents","ver1","Switch",-0.142857142857143,"0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"20","7312341","Adolescents","ver1","Payoff",-0.308865248226951,"0",7,"M",12,0.25,-6,-3,"Adolescents",-0.391936136489209,0.417785234899329,-0.898799313893654,-0.743676222596965,-0.288405261405261
"21","7312343","Adolescents","ver1","Risk",-0.133333333333333,"1",9,"M",12,0.3125,-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"22","7312343","Adolescents","ver1","RT",-909.866666666666,"1",9,"M",12,0.3125,-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"23","7312343","Adolescents","ver1","RT2",-635,"1",9,"M",12,0.3125,-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"24","7312343","Adolescents","ver1","Switch",0.214285714285714,"1",9,"M",12,0.3125,-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"25","7312343","Adolescents","ver1","Payoff",0.723758865248228,"1",9,"M",12,0.3125,-18,0,"Adolescents",-0.329436136489209,2.41778523489933,-12.8987993138937,2.25632377740304,-0.225905261405261
"26","7312344","Adolescents","ver1","Risk",0.133333333333333,"0",6,"M",12,0.4375,-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"27","7312344","Adolescents","ver1","RT",-363.643333330155,"0",6,"M",12,0.4375,-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"28","7312344","Adolescents","ver1","RT2",12.4880000238481,"0",6,"M",12,0.4375,-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"29","7312344","Adolescents","ver1","Switch",0.142857142857143,"0",6,"M",12,0.4375,-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"30","7312344","Adolescents","ver1","Payoff",-0.500709219858155,"0",6,"M",12,0.4375,-6,-7,"Adolescents",-0.204436136489209,-0.582214765100671,-0.898799313893654,-4.74367622259696,-0.100905261405261
"31","7312345","Adolescents","ver1","Risk",0.2,"0",5,"M",12,0.928571428571429,-1,-4,"Adolescents",0.28663529208222,-1.58221476510067,4.10120068610635,-1.74367622259696,0.390166167166168
"32","7312345","Adolescents","ver1","RT",2727.71993332817,"0",5,"M",12,0.928571428571429,-1,-4,"Adolescents",0.28663529208222,-1.58221476510067,4.10120068610635,-1.74367622259696,0.390166167166168
"33","7312345","Adolescents","ver1","RT2",858.275999994046,"0",5,"M",12,0.928571428571429,-1,-4,"Adolescents",0.28663529208222,-1.58221476510067,4.10120068610635,-1.74367622259696,0.390166167166168
"34","7312345","Adolescents","ver1","Switch",0.357142857142857,"0",5,"M",12,0.928571428571429,-1,-4,"Adolescents",0.28663529208222,-1.58221476510067,4.10120068610635,-1.74367622259696,0.390166167166168
"35","7312345","Adolescents","ver1","Payoff",-0.703546099290779,"0",5,"M",12,0.928571428571429,-1,-4,"Adolescents",0.28663529208222,-1.58221476510067,4.10120068610635,-1.74367622259696,0.390166167166168
"36","7312346","Adolescents","ver1","Risk",0.133333333333333,"0",5,"M",13,NA,-6,-2,"Adolescents",NA,-1.58221476510067,-0.898799313893654,0.256323777403035,NA
"37","7312346","Adolescents","ver1","RT",-855.775133269755,"0",5,"M",13,NA,-6,-2,"Adolescents",NA,-1.58221476510067,-0.898799313893654,0.256323777403035,NA
"38","7312346","Adolescents","ver1","RT2",-159.980000000003,"0",5,"M",13,NA,-6,-2,"Adolescents",NA,-1.58221476510067,-0.898799313893654,0.256323777403035,NA
"39","7312346","Adolescents","ver1","Switch",0.142857142857143,"0",5,"M",13,NA,-6,-2,"Adolescents",NA,-1.58221476510067,-0.898799313893654,0.256323777403035,NA
"40","7312346","Adolescents","ver1","Payoff",0.178368794326241,"0",5,"M",13,NA,-6,-2,"Adolescents",NA,-1.58221476510067,-0.898799313893654,0.256323777403035,NA
"41","7312347","Adolescents","ver1","Risk",0.133333333333333,"0",9,"F",13,0.466666666666667,-1,2,"Adolescents",-0.175269469822542,2.41778523489933,4.10120068610635,4.25632377740304,-0.0717385947385945
"42","7312347","Adolescents","ver1","RT",62.4390667683929,"0",9,"F",13,0.466666666666667,-1,2,"Adolescents",-0.175269469822542,2.41778523489933,4.10120068610635,4.25632377740304,-0.0717385947385945
"43","7312347","Adolescents","ver1","RT2",102.922000000006,"0",9,"F",13,0.466666666666667,-1,2,"Adolescents",-0.175269469822542,2.41778523489933,4.10120068610635,4.25632377740304,-0.0717385947385945
"44","7312347","Adolescents","ver1","Switch",0.142857142857143,"0",9,"F",13,0.466666666666667,-1,2,"Adolescents",-0.175269469822542,2.41778523489933,4.10120068610635,4.25632377740304,-0.0717385947385945
"45","7312347","Adolescents","ver1","Payoff",-0.411347517730496,"0",9,"F",13,0.466666666666667,-1,2,"Adolescents",-0.175269469822542,2.41778523489933,4.10120068610635,4.25632377740304,-0.0717385947385945
"46","7312348","Adolescents","ver1","Risk",0,"0",10,"F",12,NA,0,-20,"Adolescents",NA,3.41778523489933,5.10120068610635,-17.743676222597,NA
"47","7312348","Adolescents","ver1","RT",-990.978733346049,"0",10,"F",12,NA,0,-20,"Adolescents",NA,3.41778523489933,5.10120068610635,-17.743676222597,NA
"48","7312348","Adolescents","ver1","RT2",-524.26300009538,"0",10,"F",12,NA,0,-20,"Adolescents",NA,3.41778523489933,5.10120068610635,-17.743676222597,NA
"49","7312348","Adolescents","ver1","Switch",-0.642857142857143,"0",10,"F",12,NA,0,-20,"Adolescents",NA,3.41778523489933,5.10120068610635,-17.743676222597,NA
