"","sub","game","sum","mean.up","mean.rt","median.rt","mean.switch","mean.payoff","prop","count.trial","flag.trial","flag.variance"
"1",8616932,"competition",6,0.4,3364.31566667342,2430.731,0.0714285714285714,9.39057591623037,0.4,15,0,0
"2",8616932,"coordination",5,0.333333333333333,2540.63273334525,1770.31300002383,0.0714285714285714,11.6178010471204,0.333333333333333,15,0,0
"3",8616932,"lottery",2,0.133333333333333,2560.79093334247,1389.29800002385,0.0714285714285714,8.8,0.133333333333333,15,0,0
"4",8623989,"competition",0,0,821.333333333333,834,0,8,0,15,0,1
"5",8623989,"coordination",0,0,1904.2,1351,0,8,0,15,0,1
"6",8623989,"lottery",3,0.2,2007.73333333333,1332,0.285714285714286,8.03333333333333,0.2,15,0,0
"7",8623990,"competition",7,0.466666666666667,6552.51506666706,3035.25199999999,0.214285714285714,9.21326352530541,0.466666666666667,15,0,0
"8",8623990,"coordination",10,0.666666666666667,3958.9831999998,2369.7619999985,0.0714285714285714,12.2129144851658,0.666666666666667,15,0,0
"9",8623990,"lottery",8,0.533333333333333,1997.60213333403,1631.856,0.214285714285714,9.4,0.533333333333333,15,0,0
"10",8623991,"competition",4,0.266666666666667,2216.26666666667,1467,0.142857142857143,8.86247818499127,0.266666666666667,15,0,0
"11",8623991,"coordination",8,0.533333333333333,2294.53333333333,2065,0.5,11.5874345549738,0.533333333333333,15,0,0
"12",8623991,"lottery",4,0.266666666666667,2202.33333333333,1556,0.214285714285714,9.26666666666667,0.266666666666667,15,0,0
"13",8623992,"competition",9,0.6,3393.53333333333,1765,0.0714285714285714,9.84293193717278,0.6,15,0,0
"14",8623992,"coordination",14,0.933333333333333,1115.66666666667,1066,0.0714285714285714,10.3507853403141,0.933333333333333,15,0,0
"15",8623992,"lottery",8,0.533333333333333,2695.13333333333,2698,0.214285714285714,9.46666666666667,0.533333333333333,15,0,0
"16",8623993,"competition",6,0.4,4143.69186666697,2271.10199999704,0.357142857142857,9.11273996509599,0.4,15,0,0
"17",8623993,"coordination",15,1,1485.67093333284,1143.99700000298,0,9.59162303664921,1,15,0,1
"18",8623993,"lottery",7,0.466666666666667,5151.6757999996,1989.99700000149,0.214285714285714,9.56666666666667,0.466666666666667,15,0,0
"19",8623995,"competition",6,0.4,2576.8,1948,0.5,9.24851657940663,0.4,15,0,0
"20",8623995,"coordination",7,0.466666666666667,4518.6,3898,0.0714285714285714,12.2904013961606,0.466666666666667,15,0,0
"21",8623995,"lottery",9,0.6,2450.8,2133,0.0714285714285714,9.5,0.6,15,0,0
"22",8623996,"competition",0,0,2145.90806665237,1166.71200000001,0,8,0,15,0,1
"23",8623996,"coordination",14,0.933333333333333,2657.0638,1558.07399999999,0.0714285714285714,10.3507853403141,0.933333333333333,15,0,0
"24",8623996,"lottery",6,0.4,2391.19166665077,1822.32799998808,0.0714285714285714,9.6,0.4,15,0,0
"25",8623997,"competition",2,0.133333333333333,3800.73333333334,2916,0.285714285714286,8.36474694589878,0.133333333333333,15,0,0
"26",8623997,"coordination",14,0.933333333333333,2515.46666666667,1949,0.0714285714285714,10.3507853403141,0.933333333333333,15,0,0
"27",8623997,"lottery",8,0.533333333333333,1500.06666666667,1400,0.0714285714285714,9.6,0.533333333333333,15,0,0
"28",8623998,"competition",5,0.333333333333333,4154.8194665872,3945.803,0.142857142857143,8.36823734729494,0.333333333333333,15,0,0
"29",8623998,"coordination",5,0.333333333333333,2749.71779988874,2312.73299980927,0.0714285714285714,11.6178010471204,0.333333333333333,15,0,0
"30",8623998,"lottery",5,0.333333333333333,1905.00039991417,1777.44500000001,0.0714285714285714,9.5,0.333333333333333,15,0,0
"31",8623999,"competition",5,0.333333333333333,2306.7992666665,1715.01000000001,0.214285714285714,9.1912739965096,0.333333333333333,15,0,0
"32",8623999,"coordination",10,0.666666666666667,2841.8561333332,2001.31199999999,0.214285714285714,11.9853403141361,0.666666666666667,15,0,0
"33",8623999,"lottery",8,0.533333333333333,3362.56906666646,3030.21299999972,0.214285714285714,9.46666666666667,0.533333333333333,15,0,0
"34",8624000,"competition",1,0.0666666666666667,4727.87846666754,4273.23500000112,0.0714285714285714,7.82722513089005,0.0666666666666667,15,0,0
"35",8624000,"coordination",15,1,2318.43833333366,1648.17100000074,0,9.59162303664921,1,15,0,1
"36",8624000,"lottery",5,0.333333333333333,2519.65326666741,2251.23100000076,0.0714285714285714,9.5,0.333333333333333,15,0,0
"37",8624001,"competition",4,0.266666666666667,2875.55846667461,2381.37500001192,0.5,8.62233856893543,0.266666666666667,15,0,0
"38",8624001,"coordination",15,1,2175.48420002384,1285.46800002383,0,9.59162303664921,1,15,0,1
"39",8624001,"lottery",4,0.266666666666667,1351.04340001828,1365.24400003577,0.0714285714285714,9.33333333333333,0.266666666666667,15,0,0
"40",8624002,"competition",6,0.4,1711.63653333254,1154.62500002384,0.0714285714285714,9.39057591623037,0.4,15,0,0
"41",8624002,"coordination",0,0,542.640866664283,511.992000023849,0,8,0,15,0,1
"42",8624002,"lottery",1,0.0666666666666667,1774.58946666269,1140.867,0.0714285714285714,8.43333333333333,0.0666666666666667,15,0,0
"43",8624003,"competition",3,0.2,4260.13526666885,4141.76700000893,0.357142857142857,7.83839441535777,0.2,15,0,0
"44",8624003,"coordination",15,1,3773.05640000497,2403.39800000298,0,9.59162303664921,1,15,0,1
"45",8624003,"lottery",5,0.333333333333333,3910.57746666885,3367.66999999998,0.0714285714285714,9.5,0.333333333333333,15,0,0
