"","sub","game","Screen","rt","trial","Object.Name","sp","left.column","right.column","rt.out","left.response","right.response","answer","response","switch","payoff"
"43",9818103,"competition","trial",1101.54800000018,13,"left",2,"15solosesoli.png","2.png",0,"UP","SP","UP",1,0,6.36792452830189
"44",9818103,"competition","trial",1453.65799999982,14,"right",14,"15solosesoli.png","14.png",0,"UP","SP","SP",0,0,14
"45",9818103,"competition","trial",1419.81299999999,15,"left",15,"15.png","15solosesoli.png",0,"SP","UP","SP",0,0,15
"46",9818104,"competition","trial",9201,1,"left",14,"14.png","15solosesoli.png",0,"SP","UP","SP",0,1,14
"47",9818104,"competition","trial",4336,2,"left",6,"6.png","15solosesoli.png",0,"SP","UP","SP",0,0,6
"48",9818104,"competition","trial",19596,3,"left",3,"3.png","15solosesoli.png",1,"SP","UP","SP",0,1,3
"49",9818104,"competition","trial",4201,4,"left",13,"15solosesoli.png","13.png",0,"UP","SP","UP",1,0,11.4622641509434
"50",9818104,"competition","trial",3002,5,"left",15,"15.png","15solosesoli.png",0,"SP","UP","SP",0,0,15
"51",9818104,"competition","trial",8225.00000000001,6,"left",12,"15solosesoli.png","12.png",0,"UP","SP","UP",1,1,11.1792452830189
"52",9818104,"competition","trial",3055,7,"left",11,"11.png","15solosesoli.png",0,"SP","UP","SP",0,0,11
"53",9818104,"competition","trial",15470,8,"left",1,"15solosesoli.png","1.png",1,"UP","SP","UP",1,NA,6.36792452830189
"54",9818104,"competition","trial",2063,9,"left",9,"9.png","15solosesoli.png",0,"SP","UP","SP",0,0,9
"55",9818104,"competition","trial",2731,10,"right",7,"15solosesoli.png","7.png",0,"UP","SP","SP",0,0,7
"56",9818104,"competition","trial",3197,11,"right",8,"15solosesoli.png","8.png",0,"UP","SP","SP",0,0,8
"57",9818104,"competition","trial",2764,12,"right",10,"15solosesoli.png","10.png",0,"UP","SP","SP",0,0,10
"58",9818104,"competition","trial",13701,13,"right",5,"15solosesoli.png","5.png",1,"UP","SP","SP",0,0,5
"59",9818104,"competition","trial",4198.00000000001,14,"right",2,"2.png","15solosesoli.png",0,"SP","UP","UP",1,0,6.36792452830189
"60",9818104,"competition","trial",2290,15,"left",4,"4.png","15solosesoli.png",0,"SP","UP","SP",0,0,4
"61",9818104,"coordination","trial",2997,1,"right",14,"14.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,5.23584905660377
"62",9818104,"coordination","trial",4857,2,"left",9,"15soloseinsieme.png","9.png",0,"UP","SP","UP",1,0,10.0471698113208
"63",9818104,"coordination","trial",1833,3,"right",7,"7.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,11.6037735849057
"64",9818104,"coordination","trial",3890,4,"right",6,"6.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,13.0188679245283
"65",9818104,"coordination","trial",897,5,"left",8,"15soloseinsieme.png","8.png",0,"UP","SP","UP",1,0,10.8962264150943
"66",9818104,"coordination","trial",2176,6,"right",5,"5.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,13.8679245283019
"67",9818104,"coordination","trial",2385,7,"right",15,"15.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,3.82075471698113
"68",9818104,"coordination","trial",763,8,"right",10,"10.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,7.78301886792453
"69",9818104,"coordination","trial",1554,9,"right",3,"3.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,14.0094339622642
"70",9818104,"coordination","trial",2213,10,"left",2,"15soloseinsieme.png","2.png",0,"UP","SP","UP",1,0,14.4339622641509
"71",9818104,"coordination","trial",762,11,"left",13,"15soloseinsieme.png","13.png",0,"UP","SP","UP",1,0,5.94339622641509
"72",9818104,"coordination","trial",795.000000000029,12,"left",1,"15soloseinsieme.png","1.png",0,"UP","SP","UP",1,NA,14.4339622641509
"73",9818104,"coordination","trial",1730.00000000003,13,"right",12,"12.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,7.07547169811321
"74",9818104,"coordination","trial",3098,14,"left",11,"15soloseinsieme.png","11.png",0,"UP","SP","UP",1,0,7.21698113207547
"75",9818104,"coordination","trial",932,15,"right",4,"4.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,13.8679245283019
"76",9818104,"lottery","trial",8617,1,"left",6,"6.png","15soloseacaso.png",0,"SP","UP","SP",0,1,6
"77",9818104,"lottery","trial",1402,2,"right",1,"1.png","15soloseacaso.png",0,"SP","UP","UP",1,NA,7.5
"78",9818104,"lottery","trial",3901,3,"left",3,"15soloseacaso.png","3.png",0,"UP","SP","UP",1,0,7.5
"79",9818104,"lottery","trial",1123,4,"left",10,"10.png","15soloseacaso.png",0,"SP","UP","SP",0,0,10
"80",9818104,"lottery","trial",1100,5,"left",8,"8.png","15soloseacaso.png",0,"SP","UP","SP",0,1,8
"81",9818104,"lottery","trial",2355,6,"left",12,"12.png","15soloseacaso.png",0,"SP","UP","SP",0,0,12
"82",9818104,"lottery","trial",2467,7,"right",13,"15soloseacaso.png","13.png",0,"UP","SP","SP",0,0,13
"83",9818104,"lottery","trial",2925,8,"left",11,"11.png","15soloseacaso.png",0,"SP","UP","SP",0,0,11
"84",9818104,"lottery","trial",1800,9,"right",15,"15soloseacaso.png","15.png",0,"UP","SP","SP",0,0,15
"85",9818104,"lottery","trial",5399,10,"right",7,"7.png","15soloseacaso.png",0,"SP","UP","UP",1,1,7.5
"86",9818104,"lottery","trial",1334,11,"right",5,"5.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"87",9818104,"lottery","trial",1113.00000000003,12,"right",9,"15soloseacaso.png","9.png",0,"UP","SP","SP",0,0,9
"88",9818104,"lottery","trial",1521,13,"right",4,"4.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"89",9818104,"lottery","trial",2614,14,"right",2,"2.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"90",9818104,"lottery","trial",1314,15,"left",14,"14.png","15soloseacaso.png",0,"SP","UP","SP",0,0,14
"91",9818105,"lottery","trial",2684,1,"right",10,"15soloseacaso.png","10.png",0,"UP","SP","SP",0,0,10
"92",9818105,"lottery","trial",2117,2,"left",15,"15.png","15soloseacaso.png",0,"SP","UP","SP",0,0,15
"93",9818105,"lottery","trial",16258,3,"right",8,"8.png","15soloseacaso.png",1,"SP","UP","UP",1,1,7.5
"94",9818105,"lottery","trial",3350,4,"right",6,"15soloseacaso.png","6.png",0,"UP","SP","SP",0,1,6
"95",9818105,"lottery","trial",1151,5,"right",13,"15soloseacaso.png","13.png",0,"UP","SP","SP",0,0,13
