"","sub","game","sum","mean.up","mean.rt","median.rt","mean.switch","mean.payoff","prop","count.trial","flag.trial","flag.variance"
"1",10933689,"competition",9,0.6,3227.08666670481,1419.59999995232,0.214285714285714,7.67227414330218,0.6,15,0,0
"2",10933689,"coordination",7,0.466666666666667,1732.5000000159,1142.30000009536,0.0714285714285714,11.0118380062305,0.466666666666667,15,0,0
"3",10933689,"lottery",9,0.6,1856.7066667525,1303.50000014305,0.214285714285714,9.36666666666667,0.6,15,0,0
"4",10933690,"competition",7,0.466666666666667,2194.07333344777,1874.20000019074,0.0714285714285714,8.25482866043614,0.466666666666667,15,0,0
"5",10933690,"coordination",9,0.6,1982.07333351771,1470.6,0.0714285714285714,11.018691588785,0.6,15,0,0
"6",10933690,"lottery",10,0.666666666666667,1637.29333352407,1556.90000019074,0.214285714285714,9.26666666666667,0.666666666666667,15,0,0
"7",10933691,"competition",2,0.133333333333333,2246.9333333842,1702.59999990463,0.214285714285714,7.98878504672897,0.133333333333333,15,0,0
"8",10933691,"coordination",2,0.133333333333333,1049.64000006994,909.900000190741,0.285714285714286,8.35763239875389,0.133333333333333,15,0,0
"9",10933691,"lottery",2,0.133333333333333,1109.00000010808,1000.00000000003,0.285714285714286,8.06666666666667,0.133333333333333,15,0,0
"10",10933692,"competition",3,0.2,6713.24666662693,3357.10000000001,0.285714285714286,8.10654205607477,0.2,15,0,0
"11",10933692,"coordination",4,0.266666666666667,4741.01999996503,3358.89999990464,0.357142857142857,9.69034267912773,0.266666666666667,15,0,0
"12",10933692,"lottery",0,0,7842.97999996979,4223.89999990462,0,8,0,15,0,1
"13",10933693,"competition",8,0.533333333333333,3179.24666666667,2315.79999980927,0.0714285714285714,8.09532710280374,0.533333333333333,15,0,0
"14",10933693,"coordination",5,0.333333333333333,2569.82,1932.29999999999,0.357142857142857,10.2753894080997,0.333333333333333,15,0,0
"15",10933693,"lottery",5,0.333333333333333,4150.78666665395,3521.19999980927,0.428571428571429,7.76666666666667,0.333333333333333,15,0,0
"16",10933694,"competition",5,0.333333333333333,2381.1399999857,2086.90000004768,0.357142857142857,8.22056074766355,0.333333333333333,15,0,0
"17",10933694,"coordination",8,0.533333333333333,2058.61999998728,1530.19999997615,0.214285714285714,10.7470404984424,0.533333333333333,15,0,0
"18",10933694,"lottery",7,0.466666666666667,2909.59333333334,2294.79999997616,0.642857142857143,8.56666666666667,0.466666666666667,15,0,0
"19",10933695,"competition",9,0.6,1549.6399998792,1092.59999990463,0.714285714285714,7.2398753894081,0.6,15,0,0
"20",10933695,"coordination",7,0.466666666666667,1775.09333320618,1201.20000000001,0.5,6.61246105919003,0.466666666666667,15,0,0
"21",10933695,"lottery",6,0.4,2666.4266665713,2261.0999997139,0.571428571428571,8.26666666666667,0.4,15,0,0
"22",10933696,"competition",8,0.533333333333333,2006.77999992053,1522.29999985694,0.357142857142857,8.02367601246106,0.533333333333333,15,0,0
"23",10933696,"coordination",6,0.4,1566.41333324432,1397.29999980927,0.357142857142857,10.0093457943925,0.4,15,0,0
"24",10933696,"lottery",7,0.466666666666667,2538.6066665713,2442.99999990463,0.571428571428571,8.3,0.466666666666667,15,0,0
"25",10933697,"competition",6,0.4,2988.93333334605,2145.50000009537,0.642857142857143,7.798753894081,0.4,15,0,0
"26",10933697,"coordination",8,0.533333333333333,1434.48666666349,1130.8,0.357142857142857,10.1694704049844,0.533333333333333,15,0,0
"27",10933697,"lottery",11,0.733333333333333,987.733333333332,704.19999995231,0.571428571428571,7.7,0.733333333333333,15,0,0
"28",10933698,"competition",5,0.333333333333333,1904.25999995867,1384,0.357142857142857,8.23676012461059,0.333333333333333,15,0,0
"29",10933698,"coordination",4,0.266666666666667,2419.08666665395,1877.40000004768,0.214285714285714,6.86915887850467,0.266666666666667,15,0,0
"30",10933698,"lottery",4,0.266666666666667,2269.68666666667,1609.79999990463,0.571428571428571,8,0.266666666666667,15,0,0
"31",10933699,"competition",2,0.133333333333333,2765.66000007312,2233.3,0.0714285714285714,8.33271028037383,0.133333333333333,15,0,0
"32",10933699,"coordination",0,0,1811.69333341916,1238.10000000001,0,8,0,15,0,1
"33",10933699,"lottery",0,0,1488.44666676521,1211.00000019075,0,8,0,15,0,1
"34",10933700,"competition",9,0.6,1613.19333331426,1284.80000004769,0.357142857142857,7.8006230529595,0.6,15,0,0
"35",10933700,"coordination",14,0.933333333333333,1279.7133333238,1135.79999995232,0.142857142857143,8.20623052959501,0.933333333333333,15,0,0
"36",10933700,"lottery",10,0.666666666666667,4220.82666662534,1492.69999995231,0.5,8.13333333333333,0.666666666666667,15,0,0
"37",10933701,"competition",5,0.333333333333333,3358.17333340963,2897.49999990463,0.5,7.11152647975078,0.333333333333333,15,0,0
"38",10933701,"coordination",7,0.466666666666667,1940.5200000445,1744.70000009536,0.285714285714286,8.33582554517134,0.466666666666667,15,0,0
"39",10933701,"lottery",4,0.266666666666667,1714.26000005722,1500,0.357142857142857,7.8,0.266666666666667,15,0,0
"40",10933702,"competition",10,0.666666666666667,2323.48000008901,1486.00000004769,0.428571428571429,7.37632398753894,0.666666666666667,15,0,0
"41",10933702,"coordination",10,0.666666666666667,1895.34000008583,1601.39999999999,0.642857142857143,8.28348909657321,0.666666666666667,15,0,0
"42",10933702,"lottery",10,0.666666666666667,917.620000098543,640.100000190723,0.428571428571429,7.8,0.666666666666667,15,0,0
"43",10933703,"competition",4,0.266666666666667,2210.26666669846,1800.00000000001,0.428571428571429,8.01931464174455,0.266666666666667,15,0,0
