"sub","game","version","sum","mean.up","mean.rt","median.rt","mean.switch","mean.payoff","prop","count.trial","flag.trial","flag.variance","flag.switch.0","flag.switch.1","flag.ns","slope.lottery","flag.slopes","flag.lottery","Gender","Age","age.cat"
"7312623","coordination","ver1",13,0.928571428571429,1098.45078571088,944.014499999997,0.0769230769230769,8.42021276595745,0.866666666666667,14,1,0,"0","0","0",-1.45885163410881,"0","0","M",11,"Children"
"7312623","lottery","ver1",12,0.8,1441.01973333413,1042.22199998808,0.214285714285714,8.73333333333333,0.8,15,0,0,"0","0","0",-1.45885163410881,"0","0","M",11,"Children"
"7312624","competition","ver1",7,0.466666666666667,2398.74286654904,2624.57799980926,0.642857142857143,8.58475177304964,0.466666666666667,15,0,0,"0","0","0",-4.35121880702236,"0","0","F",11,"Children"
"7312624","coordination","ver1",7,0.466666666666667,2825.4709332634,2116.81099995231,0.0714285714285714,10.9471631205674,0.466666666666667,15,0,0,"0","0","0",-4.35121880702236,"0","0","F",11,"Children"
"7312624","lottery","ver1",7,0.466666666666667,1551.04666652043,1362.583,0.0714285714285714,9.63333333333333,0.466666666666667,15,0,0,"0","0","0",-4.35121880702236,"0","0","F",11,"Children"
"7312625","competition","ver1",8,0.571428571428571,1693.7424288984,1495.2735002861,0.461538461538462,8.2815349544073,0.533333333333333,14,1,0,"0","0","0",-4.20240728470748,"0","0","M",12,"Adolescents"
"7312625","coordination","ver1",14,0.933333333333333,1637.8094670227,1742.1490005722,0.0714285714285714,8.13297872340426,0.933333333333333,15,0,0,"0","0","0",-4.20240728470748,"0","0","M",12,"Adolescents"
"7312625","lottery","ver1",6,0.4,1748.59333366394,1653.50700000001,0.0714285714285714,9.6,0.4,15,0,0,"0","0","0",-4.20240728470748,"0","0","M",12,"Adolescents"
"7312626","competition","ver1",5,0.333333333333333,2412.67573333333,772.81400019073,0.5,8.0613475177305,0.333333333333333,15,0,0,"0","0","0",-0.455705463406505,"0","0","M",13,"Adolescents"
"7312626","coordination","ver1",5,0.333333333333333,3018.40326660309,2810.87099961854,0.5,9.18404255319149,0.333333333333333,15,0,0,"0","0","0",-0.455705463406505,"0","0","M",13,"Adolescents"
"7312626","lottery","ver1",1,0.0666666666666667,1083.2076,690.820000190724,0.142857142857143,8.16666666666667,0.0666666666666667,15,0,0,"0","0","0",-0.455705463406505,"0","0","M",13,"Adolescents"
"7312627","competition","ver1",9,0.6,3609.7877999555,3065.68799985695,0.428571428571429,8.78510638297872,0.6,15,0,0,"0","0","0",-0.62160454039757,"0","0","F",11,"Children"
"7312627","coordination","ver1",13,0.866666666666667,1618.46299992688,1446.86899990463,0.285714285714286,8.46702127659574,0.866666666666667,15,0,0,"0","0","0",-0.62160454039757,"0","0","F",11,"Children"
"7312627","lottery","ver1",8,0.533333333333333,1195.74426663488,954.906999952305,0.571428571428571,8.4,0.533333333333333,15,0,0,"0","0","0",-0.62160454039757,"0","0","F",11,"Children"
"7312628","competition","ver1",6,0.4,1943.2,1203,0.857142857142857,8.32943262411347,0.4,15,0,0,"0","0","0",-0.231001603928904,"0","0","M",12,"Adolescents"
"7312628","coordination","ver1",15,1,2003.4,1586,0,7.37234042553191,1,15,0,1,"0","0","0",-0.231001603928904,"0","0","M",12,"Adolescents"
"7312628","lottery","ver1",8,0.533333333333333,4262.46666666667,3849,0.428571428571429,8,0.533333333333333,15,0,0,"0","0","0",-0.231001603928904,"0","0","M",12,"Adolescents"
"7312629","competition","ver1",11,0.733333333333333,1698.58606675568,1178.184,0.214285714285714,8.66489361702128,0.733333333333333,15,0,0,"0","0","0",-0.592439261503596,"0","0","M",11,"Children"
"7312629","coordination","ver1",8,0.533333333333333,979.837933676656,712.454000572201,0.785714285714286,7.6854609929078,0.533333333333333,15,0,0,"0","0","0",-0.592439261503596,"0","0","M",11,"Children"
"7312629","lottery","ver1",10,0.714285714285714,569.917714680809,425.487500572206,0.384615384615385,8.28571428571429,0.666666666666667,14,1,0,"0","0","0",-0.592439261503596,"0","0","M",11,"Children"
"7312658","competition","ver1",1,0.0714285714285714,2608.99385689763,1960.2139997139,0.0769230769230769,8.60752279635258,0.0666666666666667,14,1,0,"0","0","0",-4.20240728470748,"0","0","M",11,"Children"
"7312658","coordination","ver1",7,0.538461538461538,3238.80307664431,1810.923,0.5,10.1738952536825,0.466666666666667,13,1,0,"0","0","0",-4.20240728470748,"0","0","M",11,"Children"
"7312658","lottery","ver1",6,0.4,2064.29139988556,1439.41500000001,0.0714285714285714,9.6,0.4,15,0,0,"0","0","0",-4.20240728470748,"0","0","M",11,"Children"
"7312665","competition","ver1",7,0.466666666666667,1891.9980665713,1930.72199995231,0.642857142857143,8.79539007092199,0.466666666666667,15,0,0,"0","0","0",-1.31455401061691,"0","0","F",11,"Children"
"7312665","coordination","ver1",8,0.533333333333333,1517.58139987602,1633.91199990464,0.357142857142857,10.0641843971631,0.533333333333333,15,0,0,"0","0","0",-1.31455401061691,"0","0","F",11,"Children"
"7312665","lottery","ver1",9,0.6,1499.57153325704,1367.598,0.357142857142857,8.9,0.6,15,0,0,"0","0","0",-1.31455401061691,"0","0","F",11,"Children"
"7312667","competition","ver1",7,0.466666666666667,2556.13333333333,2101,0.571428571428571,8.46737588652482,0.466666666666667,15,0,0,"0","0","0",-0.35273882652111,"0","0","M",13,"Adolescents"
"7312667","coordination","ver1",7,0.466666666666667,1291.2,1184,0.285714285714286,10.0414893617021,0.466666666666667,15,0,0,"0","0","0",-0.35273882652111,"0","0","M",13,"Adolescents"
"7312667","lottery","ver1",9,0.6,2102,1317,0.642857142857143,8.1,0.6,15,0,0,"0","0","0",-0.35273882652111,"0","0","M",13,"Adolescents"
"7312776","competition","ver1",6,0.545454545454545,818.520181795423,429.456999964241,0.6,7.82301740812379,0.4,11,1,0,"0","0","0",1.09882540899123,"1","1","M",11,"Children"
"7312776","coordination","ver1",0,0,1907.94746664362,1919.38999998808,0,8,0,15,0,1,"0","0","0",1.09882540899123,"1","1","M",11,"Children"
"7312776","lottery","ver1",5,0.384615384615385,1027.72023073897,677.905999952316,0.416666666666667,7.11538461538461,0.333333333333333,13,1,0,"0","0","0",1.09882540899123,"1","1","M",11,"Children"
"7312947","competition","ver1",4,0.266666666666667,2270.93333333333,2133,0.214285714285714,8.72304964539007,0.266666666666667,15,0,0,"1","0","1",NA,"0","1","F",12,"Adolescents"
"7312947","coordination","ver1",0,0,1130.73333333333,1034,0,8,0,15,0,1,"1","0","1",NA,"0","1","F",12,"Adolescents"
"7312947","lottery","ver1",0,0,1539.8,1232,0,8,0,15,0,1,"1","0","1",NA,"0","1","F",12,"Adolescents"
"7312948","competition","ver1",8,0.533333333333333,2592.22059982198,1040.18100019073,0.357142857142857,8.30496453900709,0.533333333333333,15,0,0,"0","0","0",0.712716336881413,"1","1","M",11,"Children"
"7312948","coordination","ver1",5,0.333333333333333,1078.00386655223,816.932999618526,0.5,7.15141843971631,0.333333333333333,15,0,0,"0","0","0",0.712716336881413,"1","1","M",11,"Children"
"7312948","lottery","ver1",7,0.466666666666667,1655.74686639964,971.695999809279,0.571428571428571,7.03333333333333,0.466666666666667,15,0,0,"0","0","0",0.712716336881413,"1","1","M",11,"Children"
"7312949","competition","ver1",4,0.266666666666667,1857.13333333333,1601,0.428571428571429,8.29007092198582,0.266666666666667,15,0,0,"0","0","0",0.886876910572573,"1","1","F",11,"Children"
"7312949","coordination","ver1",7,0.466666666666667,2552.93333333333,2108,0.571428571428571,8.15567375886525,0.466666666666667,15,0,0,"0","0","0",0.886876910572573,"1","1","F",11,"Children"
"7312949","lottery","ver1",4,0.266666666666667,1711,1551,0.357142857142857,7.06666666666667,0.266666666666667,15,0,0,"0","0","0",0.886876910572573,"1","1","F",11,"Children"
"7312952","competition","ver1",8,0.533333333333333,1248.08046665435,1005.93399998212,0.428571428571429,8.60744680851064,0.533333333333333,15,0,0,"0","0","0",-0.454604027448677,"0","0","M",11,"Children"
"7312952","coordination","ver1",4,0.266666666666667,2233.83519998728,1639.02099997616,0.428571428571429,8.52198581560284,0.266666666666667,15,0,0,"0","0","0",-0.454604027448677,"0","0","M",11,"Children"
"7312952","lottery","ver1",6,0.4,1466.34786665355,871.690999988074,0.571428571428571,8.26666666666667,0.4,15,0,0,"0","0","0",-0.454604027448677,"0","0","M",11,"Children"
"7312953","competition","ver1",9,0.6,3108.73333333333,2410,0.357142857142857,7.99787234042553,0.6,15,0,0,"0","0","0",0.43634526431646,"1","1","F",11,"Children"
"7312953","coordination","ver1",8,0.533333333333333,2513.66666666667,2334,0.357142857142857,7.6936170212766,0.533333333333333,15,0,0,"0","0","0",0.43634526431646,"1","1","F",11,"Children"
"7312953","lottery","ver1",7,0.466666666666667,3615.4,2851,0.642857142857143,7.3,0.466666666666667,15,0,0,"0","0","0",0.43634526431646,"1","1","F",11,"Children"
"7312954","competition","ver1",2,0.133333333333333,2344.66666666667,1933,0.214285714285714,7.78014184397163,0.133333333333333,15,0,0,"1","0","1",NA,"0","1","F",12,"Adolescents"
"7312954","coordination","ver1",2,0.133333333333333,1470.73333333333,1216,0.142857142857143,7.97588652482269,0.133333333333333,15,0,0,"1","0","1",NA,"0","1","F",12,"Adolescents"
"7312954","lottery","ver1",0,0,1296.06666666667,1051,0,8,0,15,0,1,"1","0","1",NA,"0","1","F",12,"Adolescents"
"7312955","competition","ver1",8,0.533333333333333,1424.33333333333,1245.00000000001,0.0714285714285714,9.23829787234042,0.533333333333333,15,0,0,"0","0","0",-2.25107502517117,"0","0","M",13,"Adolescents"
"7312955","coordination","ver1",9,0.6,1595.2,1384,0.0714285714285714,10.7127659574468,0.6,15,0,0,"0","0","0",-2.25107502517117,"0","0","M",13,"Adolescents"
"7312955","lottery","ver1",9,0.6,3179.8,2533,0.214285714285714,9.3,0.6,15,0,0,"0","0","0",-2.25107502517117,"0","0","M",13,"Adolescents"
"7312956","competition","ver1",15,1,1048.73333333333,920,0,8.77127659574468,1,15,0,1,"0","0","0",-2.69930933554894,"0","0","M",11,"Children"
"7312956","coordination","ver1",7,0.466666666666667,3719.13333333333,2701,0.5,8.84539007092199,0.466666666666667,15,0,0,"0","0","0",-2.69930933554894,"0","0","M",11,"Children"
"7312956","lottery","ver1",5,0.333333333333333,2654.6,1966,0.214285714285714,9.36666666666667,0.333333333333333,15,0,0,"0","0","0",-2.69930933554894,"0","0","M",11,"Children"
"7312957","competition","ver1",3,0.2,2096.13333333333,1599,0.428571428571429,8.3531914893617,0.2,15,0,0,"0","0","0",0.316109077928607,"1","1","M",11,"Children"
"7312957","coordination","ver1",0,0,1324.53333333333,1067,0,8,0,15,0,1,"0","0","0",0.316109077928607,"1","1","M",11,"Children"
"7312957","lottery","ver1",8,0.533333333333333,1098.93333333333,1101,0.357142857142857,7.4,0.533333333333333,15,0,0,"0","0","0",0.316109077928607,"1","1","M",11,"Children"
"7312958","competition","ver1",5,0.333333333333333,2475.86666666667,2128,0.142857142857143,8.79964539007092,0.333333333333333,15,0,0,"0","0","0",-1.755878743835,"0","0","M",11,"Children"
"7312958","coordination","ver1",9,0.6,1358,1284,0.357142857142857,8.65390070921986,0.6,15,0,0,"0","0","0",-1.755878743835,"0","0","M",11,"Children"
"7312958","lottery","ver1",7,0.466666666666667,2290.33333333333,1801,0.357142857142857,9.16666666666667,0.466666666666667,15,0,0,"0","0","0",-1.755878743835,"0","0","M",11,"Children"
"7312959","competition","ver1",9,0.6,1714.8,1117,0.571428571428571,8.49893617021277,0.6,15,0,0,"0","0","0",-0.357824820018827,"0","0","M",12,"Adolescents"
"7312959","coordination","ver1",8,0.533333333333333,2604.66666666667,2364,0.5,6.81170212765957,0.533333333333333,15,0,0,"0","0","0",-0.357824820018827,"0","0","M",12,"Adolescents"
"7312959","lottery","ver1",10,0.666666666666667,1829.93333333333,1237,0.571428571428571,8.06666666666667,0.666666666666667,15,0,0,"0","0","0",-0.357824820018827,"0","0","M",12,"Adolescents"
"7312960","competition","ver1",1,0.0666666666666667,2961.94239995231,1764.40599990463,0.142857142857143,8.07588652482269,0.0666666666666667,15,0,0,"0","0","0",0.0356065834789563,"1","1","M",11,"Children"
"7312960","coordination","ver1",2,0.133333333333333,1814.16133327929,1049.15200004767,0.285714285714286,8.48475177304964,0.133333333333333,15,0,0,"0","0","0",0.0356065834789563,"1","1","M",11,"Children"
"7312960","lottery","ver1",3,0.2,1173.05866660945,976.855999904627,0.428571428571429,7.83333333333333,0.2,15,0,0,"0","0","0",0.0356065834789563,"1","1","M",11,"Children"
"7312961","competition","ver1",5,0.333333333333333,1911.66666666667,1518,0.357142857142857,8.8177304964539,0.333333333333333,15,0,0,"1","0","1",NA,"0","1","F",12,"Adolescents"
"7312961","coordination","ver1",6,0.4,1419.33333333333,1400,0.571428571428571,8.98794326241135,0.4,15,0,0,"1","0","1",NA,"0","1","F",12,"Adolescents"
"7312961","lottery","ver1",0,0,1281.13333333333,1115,0,8,0,15,0,1,"1","0","1",NA,"0","1","F",12,"Adolescents"
"7312962","competition","ver1",5,0.357142857142857,1577.79257181004,1152.04250057221,0.307692307692308,8.66755319148936,0.333333333333333,14,1,0,"0","0","0",-1.44160498956999,"0","0","M",11,"Children"
"7312962","coordination","ver1",4,0.266666666666667,1586.2240670227,1329.265,0.214285714285714,9.94432624113475,0.266666666666667,15,0,0,"0","0","0",-1.44160498956999,"0","0","M",11,"Children"
"7312962","lottery","ver1",5,0.333333333333333,2668.80120033061,1972.21600019073,0.357142857142857,8.96666666666667,0.333333333333333,15,0,0,"0","0","0",-1.44160498956999,"0","0","M",11,"Children"
"7312963","competition","ver1",5,0.333333333333333,1341.03213333969,1226.34599990463,0.428571428571429,8.37198581560284,0.333333333333333,15,0,0,"0","0","0",-2.39097831327908,"0","0","F",11,"Children"
